Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.59,B,3
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.542,B,6
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.542,B,6
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.596,B,1
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.596,B,1
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.576,B,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.576,B,2
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.584,B,5
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.584,B,5
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.6,B,7
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.6,B,7
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.616,B,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.616,B,4
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.582,B,6
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,26,Heat,0.582,B,6
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.533,B,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.533,B,4
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.559,B,8
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.559,B,8
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.547,B,3
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.547,B,3
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.54,B,7
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.54,B,7
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.514,B,1
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,26,Heat,0.514,B,1
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.501,B,7
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.501,B,7
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.507,B,1
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.507,B,1
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.531,B,8
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.531,B,8
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.523,B,3
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.523,B,3
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.565,B,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.565,B,4
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.491,B,2
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.491,B,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.549,B,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.549,B,2
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.509,B,6
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.509,B,6
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.498,B,5
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.498,B,5
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.553,B,3
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.553,B,3
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.511,B,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,34,Heat,0.511,B,4
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.602,B,8
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.602,B,8
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.565,B,6
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.565,B,6
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.458,B,5
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.458,B,5
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.59,B,7
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.59,B,7
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.59,B,1
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,34,Heat,0.59,B,1
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.534,B,6
6_Pocillopora_sp_Floreana,6_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.534,B,6
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.519,B,2
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.519,B,2
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.578,B,7
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.578,B,7
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.598,B,5
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.598,B,5
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.537,B,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.537,B,4
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.59,B,8
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.59,B,8
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.511,B,7
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.511,B,7
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.543,B,3
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.543,B,3
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.574,B,1
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.574,B,1
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.537,B,5
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.537,B,5
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.546,B,3
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.546,B,3
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.584,B,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,32.5,Heat,0.584,B,2
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.503,B,6
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.503,B,6
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.506,B,8
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.506,B,8
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.491,B,1
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.491,B,1
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.504,B,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,32.5,Heat,0.504,B,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.598,B,4
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.598,B,4
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.525,B,7
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.525,B,7
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.529,B,8
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.529,B,8
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.531,B,6
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.531,B,6
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.493,B,1
1_Pavona_clavus_Floreana,1_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.493,B,1
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.593,B,8
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.593,B,8
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.594,B,2
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.594,B,2
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.56,B,1
1_Pocillopora_sp_Floreana,1_Pocillopora_sp_Floreana_Heat,Floreana,Pocillopora_sp,31,Heat,0.56,B,1
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.501,B,2
2_Pavona_clavus_Floreana,2_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.501,B,2
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.547,B,4
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Heat,Floreana,Pavona_clavus,31,Heat,0.547,B,4
